method,n,mean_iou,median_iou
Real post-disaster,108,0.2821907771120041,0.2831626147568854
ControlNet,108,0.10215752082008252,0.08235212992761026
Pix2Pix,108,0.22175032310438814,0.2314967012825921
CycleGAN,108,0.3643667047387591,0.39811079459693843
Palette,108,0.013446503431154791,0.0006696358951727422
SDEdit,108,0.017451759841606514,0.010788918222564586
RiskSlider (Ours),108,0.28922043481381715,0.3189511852418365
