method,n,fid_point_full2048d,fid_pca64_ci_lo,fid_pca64_ci_hi,kid_point_full2048d,kid_pca64_ci_lo,kid_pca64_ci_hi
ControlNet,246,269.03496547580716,193.6361911758023,222.89864005952944,0.07381196771540299,0.9486123323263471,1.257092699623691
Pix2Pix,246,198.35853057683275,136.12891762121006,163.45148504909696,0.024307871944137194,0.3823715107262914,0.6276246952125834
CycleGAN,246,178.65879486259354,121.55936853393261,144.2083356281083,0.0068234031293461506,0.2175062251625814,0.40272574671599803
Palette,246,434.47203294729184,375.7551179875272,418.58916135550606,0.3875527584373035,3.881856905875204,4.567375738853396
RiskSlider (Ours),246,175.17302715874513,120.913626377846,144.3919600490594,0.01519024505747213,0.2757413172998352,0.44855611693201225
