baseline,fid_diff_ci_lo,fid_diff_ci_hi,fid_diff_excludes_zero,kid_diff_ci_lo,kid_diff_ci_hi,kid_diff_excludes_zero
ControlNet,-91.93615739592867,-64.17005196109243,yes,-0.8994418157702175,-0.6041060870455416,yes
Pix2Pix,-30.89937379784417,-6.11759988375392,yes,-0.26748901277773895,-0.03392723426217392,yes
CycleGAN,-13.493423165471174,12.879111407190676,no,-0.04354139956535363,0.14145932172411646,no
Palette,-273.7736829796138,-233.99051928098845,yes,-4.284496717051385,-3.7439818447235473,yes
