split,scale,n_matched,lpips,ssim,psnr,fid,clip_i,dino_i,cas_accuracy
test,scale0,246,0.3079991888527463,0.5017995962932799,21.616008481613857,,,,0.6219512195121951
test,scale0.25,246,0.28275070257666635,0.5361210356151453,22.363935262854774,,,,0.725609756097561
test,scale0.3,245,0.27698562195410537,0.5431442613401959,22.502938257613714,,,,0.7489795918367347
test,scale0.5,246,0.25425366515187714,0.5666185526839019,23.01489346856625,,,,0.8699186991869918
test,scale0.7,246,0.23230743801932993,0.5845741946645329,23.398888824959762,,,,0.9735772357723578
test,scale0.75,246,0.22750431253779224,0.5881123927457595,23.482100286524048,,,,0.975609756097561
test,scale1,246,0.21720024899435722,0.5893227882653361,23.572813763703092,,,,0.991869918699187
